algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,correct
patience_sort,10,aleatorio,D7,b,1,2000,0.0001805,368,5283840,1
patience_sort,10,aleatorio,D7,b,2,2000,0.00017835,368,5283840,1
patience_sort,10,aleatorio,D7,b,3,2000,0.0001789,368,5283840,1
patience_sort,10,aleatorio,D7,b,4,2000,0.00017885,368,5283840,1
patience_sort,10,aleatorio,D7,b,5,2000,0.0001866,368,5283840,1
patience_sort,10,aleatorio,D7,b,6,2000,0.0001785,368,5283840,1
patience_sort,10,aleatorio,D7,b,7,2000,0.0001804,368,5283840,1
patience_sort,10,aleatorio,D7,b,8,2000,0.00017835,368,5283840,1
patience_sort,10,aleatorio,D7,b,9,2000,0.0001788,368,5283840,1
patience_sort,10,aleatorio,D7,b,10,2000,0.00017795,368,5283840,1
patience_sort,10,aleatorio,D7,b,11,2000,0.0001819,368,5283840,1
patience_sort,10,aleatorio,D7,b,12,2000,0.00017945,368,5283840,1
patience_sort,10,aleatorio,D7,b,13,2000,0.00017965,368,5283840,1
patience_sort,10,aleatorio,D7,b,14,2000,0.0001788,368,5283840,1
patience_sort,10,aleatorio,D7,b,15,2000,0.0001794,368,5283840,1
std_sort,10,aleatorio,D7,c,1,2000,3.515e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,2,2000,3.52e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,3,2000,3.49e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,4,2000,3.5e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,5,2000,3.49e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,6,2000,3.8e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,7,2000,3.47e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,8,2000,3.485e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,9,2000,3.48e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,10,2000,3.5e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,11,2000,3.495e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,12,2000,3.47e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,13,2000,3.48e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,14,2000,3.495e-05,40,5283840,1
std_sort,10,aleatorio,D7,c,15,2000,3.485e-05,40,5283840,1
merge_sort,10,aleatorio,D7,c,1,2000,9.085e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,2,2000,9.035e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,3,2000,8.93e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,4,2000,8.945e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,5,2000,8.845e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,6,2000,8.885e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,7,2000,8.9e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,8,2000,8.895e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,9,2000,9.01e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,10,2000,8.91e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,11,2000,9.81e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,12,2000,8.905e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,13,2000,8.865e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,14,2000,8.865e-05,80,5283840,1
merge_sort,10,aleatorio,D7,c,15,2000,8.905e-05,80,5283840,1
quick_sort,10,aleatorio,D7,c,1,2000,6.42e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,2,2000,6.2e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,3,2000,6.265e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,4,2000,6.185e-05,40,5283840,1
