algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,cutoff,correct
strassen,16,diagonal,D0,c,6,200,0.001494,2048,5132288,64,1
strassen,16,diagonal,D0,c,7,200,0.001377,2048,5132288,64,1
strassen,16,diagonal,D0,c,8,200,0.0012595,2048,5132288,64,1
strassen,16,diagonal,D0,c,9,200,0.0012445,2048,5132288,64,1
strassen,16,diagonal,D0,c,10,200,0.001244,2048,5132288,64,1
strassen,16,diagonal,D0,c,11,200,0.0012665,2048,5132288,64,1
strassen,16,diagonal,D0,c,12,200,0.001244,2048,5132288,64,1
strassen,16,diagonal,D0,c,13,200,0.001244,2048,5132288,64,1
strassen,16,diagonal,D0,c,14,200,0.0012425,2048,5132288,64,1
strassen,16,diagonal,D0,c,15,200,0.001245,2048,5132288,64,1
naive,16,diagonal,D10,a,1,200,0.0012385,2048,5132288,64,1
naive,16,diagonal,D10,a,2,200,0.00124,2048,5132288,64,1
naive,16,diagonal,D10,a,3,200,0.0012575,2048,5132288,64,1
naive,16,diagonal,D10,a,4,200,0.001254,2048,5132288,64,1
naive,16,diagonal,D10,a,5,200,0.001231,2048,5132288,64,1
naive,16,diagonal,D10,a,6,200,0.001231,2048,5132288,64,1
naive,16,diagonal,D10,a,7,200,0.001232,2048,5132288,64,1
naive,16,diagonal,D10,a,8,200,0.0012555,2048,5132288,64,1
naive,16,diagonal,D10,a,9,200,0.001237,2048,5132288,64,1
naive,16,diagonal,D10,a,10,200,0.001238,2048,5132288,64,1
naive,16,diagonal,D10,a,11,200,0.0012505,2048,5132288,64,1
naive,16,diagonal,D10,a,12,200,0.0012565,2048,5132288,64,1
naive,16,diagonal,D10,a,13,200,0.001335,2048,5132288,64,1
naive,16,diagonal,D10,a,14,200,0.0014475,2048,5132288,64,1
naive,16,diagonal,D10,a,15,200,0.001232,2048,5132288,64,1
strassen,16,diagonal,D10,a,1,200,0.0012375,2048,5132288,64,1
